,aff_city,aff_cityNow,aff_country,aff_countryNow,aff_locationString,aff_name,aff_nameNow,awardYear,category,categoryFullName,city,cityNow,continent,country,countryNow,date,dateAwarded,gender,id,knownName,locationString,motivation,portion,prizeAmount,prizeAmountAdjusted,prizeStatus,sortOrder,new_category,key_col,matches,check
24,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"New Haven, CT","New Haven, CT",North America,USA,USA,1940-06-17,2001-10-10,male,744,George A. Akerlof,"New Haven, CT, USA",for their analyses of markets with asymmetric information,1/3,10000000,12295082,received,1,Economics,georgeaakerlof2001economics,georgeakerlof2001economics,26
25,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,1982,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Renton, WA","Renton, WA",North America,USA,USA,1911-01-17,1982-10-20,male,696,George J. Stigler,"Renton, WA, USA","for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",1,1150000,3102518,received,1,Economics,georgejstigler1982economics,,0
26,"Berkeley, CA","Berkeley, CA",USA,USA,"Berkeley, CA, USA",University of California,University of California,1983,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Calais,Calais,Europe,France,France,1921-07-04,1983-10-17,male,697,Gerard Debreu,"Calais, France",for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,1,1500000,3715324,received,1,Economics,gerarddebreu1983economics,,0
27,,,,,,,,1974,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Skattungbyn,Skattungbyn,Europe,Sweden,Sweden,1898-12-06,1974-10-09,male,684,Gunnar Myrdal,"Skattungbyn, Sweden","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",1/2,550000,3263449,received,1,Economics,gunnarmyrdal1974economics,,0
28,"New York, NY","New York, NY",USA,USA,"New York, NY, USA",City University of New York,City University of New York,1990,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Chicago, IL","Chicago, IL",North America,USA,USA,1927-08-24,1990-10-16,male,704,Harry M. Markowitz,"Chicago, IL, USA",for their pioneering work in the theory of financial economics,1/3,4000000,6329114,received,1,Economics,harrymmarkowitz1990economics,harrymarkowitz1990economics,27
29,"Pittsburgh, PA","Pittsburgh, PA",USA,USA,"Pittsburgh, PA, USA",Carnegie Mellon University,Carnegie Mellon University,1978,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Milwaukee, WI","Milwaukee, WI",North America,USA,USA,1916-06-15,1978-10-16,male,691,Herbert Simon,"Milwaukee, WI, USA",for his pioneering research into the decision-making process within economic organizations,1,725000,2898454,received,1,Economics,herbertsimon1978economics,herbertsimon1978economics,25
30,Cambridge,Cambridge,United Kingdom,United Kingdom,"Cambridge, United Kingdom",University of Cambridge,University of Cambridge,1996,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Minnigaff,Minnigaff,Europe,Scotland,Scotland,1936-07-05,1996-10-08,male,715,James A. Mirrlees,"Minnigaff, Scotland",for their fundamental contributions to the economic theory of incentives under asymmetric information,1/2,7400000,9490424,received,1,Economics,jamesamirrlees1996economics,,0
31,Cambridge,Cambridge,United Kingdom,United Kingdom,"Cambridge, United Kingdom",University of Cambridge,University of Cambridge,1977,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Swanage,Swanage,Europe,United Kingdom,United Kingdom,1907-06-23,1977-10-14,male,690,James E. Meade,"Swanage, United Kingdom",for their pathbreaking contribution to the theory of international trade and international capital movements,1/2,700000,3080986,received,2,Economics,jamesemeade1977economics,,0
32,"Chicago, IL","Chicago, IL",USA,USA,"Chicago, IL, USA",University of Chicago,University of Chicago,2000,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Chicago, IL","Chicago, IL",North America,USA,USA,1944-04-19,2000-10-11,male,732,James J. Heckman,"Chicago, IL, USA",for his development of theory and methods for analyzing selective samples,1/2,9000000,11333109,received,1,Economics,jamesjheckman2000economics,,0
33,"Fairfax, VA","Fairfax, VA",USA,USA,"Fairfax, VA, USA",Center for Study of Public Choice,Center for Study of Public Choice,1986,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Murfreesboro, TN","Murfreesboro, TN",North America,USA,USA,1919-10-03,1986-10-16,male,700,James M. Buchanan Jr.,"Murfreesboro, TN, USA",for his development of the contractual and constitutional bases for the theory of economic and political decision-making,1,2000000,4098361,received,1,Economics,jamesmbuchananjr1986economics,,0
34,"New Haven, CT","New Haven, CT",USA,USA,"New Haven, CT, USA",Yale University,Yale University,1981,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"Champaign, IL","Champaign, IL",North America,USA,USA,1918-03-05,1981-10-13,male,695,James Tobin,"Champaign, IL, USA","for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",1,1000000,2929688,received,1,Economics,jamestobin1981economics,,0
